id,codigo,jurisdiccion,localidad,nombre,pase_descripcion,tsal
5d5702ae850c0000098f21d9,vicpaz01,Victoria,Victoria,Juzgado de Paz 01,PASE DIRECTO - VICTORIA JUZGADO DE PAZ .-,17&KJNdSH5
5d5703fa850c0000099a7dbb,viccyc01,Victoria,Victoria,Juzgado Civil y Comercial,PASE DIRECTO - VICTORIA JUZGADO CIVIL Y COMERCIAL .-,17&KJR7GYT
5d57053a850c000009a4dc9d,vicfam01,Victoria,Victoria,"Juzgado de Familia, Civil y Penal de Menores","PASE DIRECTO - VICTORIA JUZGADO DE FAMILIA, CIVIL Y PENAL DE MENORES .-",17&KJ90hYF
5d5833e8850c000009556c2f,vicgar01,Victoria,Victoria,Juzgado de Garantías,PASE DIRECTO - VICTORIA JUZGADO DE TRANSICION Y GARANTIAS .-,17&KJWr3wZ
5e09e488a564b5000a89742b,vicferia,Victoria,Victoria,Juzgado de Feria,PASE DIRECTO - VICTORIA FERIA JUDICIAL .-,17&KJcaiuR
60197df141c13900074047ec,vilvclapaz3,Villaguay,Villa Clara,Juzgado de Paz de Villa Clara,,
60197df3f6d37700096810b8,vilvdompaz3,Villaguay,Villa Dominguez,Juzgado de Paz de Villa Dominguez,,
5db6c3488fbc56000b49a17f,velipaz,Colón,Villa Elisa,Juzgado de Paz de Villa Elisa,PASE DIRECTO - VILLA ELISA JUZGADO DE PAZ .-,17&KJ1q&kS
60197deb41c13900074047b5,uruvmanpaz3,Uruguay,Villa Mantero,Juzgado de Paz de Villa Mantero,,
5d9213db8b8d00000a1f8981,pcitomultif,Islas del Ibicuy,Villa Paranacito,"Juzgado Civil, Comercial y del Trabajo","PASE DIRECTO - VILLA PARANACITO - JUZGADO CIVIL, COMERCIAL Y DEL TRABAJO .-",17&KJgIG3N
5d9214508b8d00000a1fc35c,pcitopaz,Islas del Ibicuy,Villa Paranacito,Juzgado de Paz,PASE DIRECTO - VILLA PARANACITO - JUZGADO DE PAZ .-,17&KJZZ3&3
60197dee41c13900074047d9,uruvsmpaz3,Uruguay,Villa San Marcial,Juzgado de Paz de Villa San Marcial,,
60197dd9b3966400085e8779,parvupaz3,Paraná,Villa Urquiza,Juzgado de Paz de Villa Urquiza,,
5d5702a7850c0000098ed2ed,vilcyc01,Villaguay,Villaguay,Juzgado Civil y Comercial 1,PASE DIRECTO - VILLAGUAY JUZGADO CIVIL Y COMERCIAL N°1 .-,17&KJKBpyP
5d57033c850c000009932ed4,vilcyc02,Villaguay,Villaguay,Juzgado Civil y Comercial 2,PASE DIRECTO - VILLAGUAY JUZGADO CIVIL Y COMERCIAL N°2 .-,17&KJgCurd
5d5703fa850c0000099a7db1,vilfam01,Villaguay,Villaguay,Juzgado de Familia y Penal de Niños y Adolescentes,PASE DIRECTO - VILLAGUAY JUZGADO DE FAMILIA Y PENAL DE MENORES .-,17&KJlnAfL
5d570575850c000009a64b9c,vilapaz01,Villaguay,Villaguay,Juzgado de Paz,PASE DIRECTO - VILLAGUAY JUZGADO DE PAZ .-,17&KJtC2VA
5d580a45850c000009d09975,vilgar01,Villaguay,Villaguay,Juzgado de Garantia y Transición,PASE DIRECTO - VILLAGUAY JUZGADO DE GARANTIAS Y TRANSICION .-,17&KJBSJat
5e09e4b1a564b5000a897d52,vilferia,Villaguay,Villaguay,Juzgado de Feria,PASE DIRECTO - VILLAGUAY FERIA JUDICIAL .-,17&KJK2ONs
